name,id,nametype,recclass,mass,fall,year,reclat,reclong,GeoLocation
Aachen,1,Valid,L5,21,Fell,01/01/1880 12:00:00 AM,50.775.000,6.083.330,"(50.775000, 6.083330)"
Aarhus,2,Valid,H6,720,Fell,01/01/1951 12:00:00 AM,56.183.330,10.233.330,"(56.183330, 10.233330)"
Abee,6,Valid,EH4,107000,Fell,01/01/1952 12:00:00 AM,54.216.670,-113.000.000,"(54.216670, -113.000000)"
Acapulco,10,Valid,Acapulcoite,1914,Fell,01/01/1976 12:00:00 AM,16.883.330,-99.900.000,"(16.883330, -99.900000)"
Achiras,370,Valid,L6,780,Fell,01/01/1902 12:00:00 AM,-33.166.670,-64.950.000,"(-33.166670, -64.950000)"
Adhi Kot,379,Valid,EH4,4239,Fell,01/01/1919 12:00:00 AM,32.100.000,71.800.000,"(32.100000, 71.800000)"
Adzhi-Bogdo (stone),390,Valid,LL3-6,910,Fell,01/01/1949 12:00:00 AM,44.833.330,95.166.670,"(44.833330, 95.166670)"
Agen,392,Valid,H5,30000,Fell,01/01/1814 12:00:00 AM,44.216.670,616.670,"(44.216670, 0.616670)"
Aguada,398,Valid,L6,1620,Fell,01/01/1930 12:00:00 AM,-31.600.000,-65.233.330,"(-31.600000, -65.233330)"
Aguila Blanca,417,Valid,L,1440,Fell,01/01/1920 12:00:00 AM,-30.866.670,-64.550.000,"(-30.866670, -64.550000)"
Aioun el Atrouss,423,Valid,Diogenite-pm,1000,Fell,01/01/1974 12:00:00 AM,16.398.060,-9.570.280,"(16.398060, -9.570280)"
Aïr,424,Valid,L6,24000,Fell,01/01/1925 12:00:00 AM,19.083.330,8.383.330,"(19.083330, 8.383330)"
Aire-sur-la-Lys,425,Valid,Unknown,,Fell,01/01/1769 12:00:00 AM,50.666.670,2.333.330,"(50.666670, 2.333330)"
Akaba,426,Valid,L6,779,Fell,01/01/1949 12:00:00 AM,29.516.670,35.050.000,"(29.516670, 35.050000)"
Akbarpur,427,Valid,H4,1800,Fell,01/01/1838 12:00:00 AM,29.716.670,77.950.000,"(29.716670, 77.950000)"
Akwanga,432,Valid,H,3000,Fell,01/01/1959 12:00:00 AM,8.916.670,8.433.330,"(8.916670, 8.433330)"
Akyumak,433,Valid,"Iron, IVA",50000,Fell,01/01/1981 12:00:00 AM,39.916.670,42.816.670,"(39.916670, 42.816670)"
Al Rais,446,Valid,CR2-an,160,Fell,01/01/1957 12:00:00 AM,24.416.670,39.516.670,"(24.416670, 39.516670)"
Al Zarnkh,447,Valid,LL5,700,Fell,01/01/2001 12:00:00 AM,13.660.330,28.960.000,"(13.660330, 28.960000)"
Alais,448,Valid,CI1,6000,Fell,01/01/1806 12:00:00 AM,44.116.670,4.083.330,"(44.116670, 4.083330)"
Albareto,453,Valid,L/LL4,2000,Fell,01/01/1766 12:00:00 AM,44.650.000,11.016.670,"(44.650000, 11.016670)"
Alberta,454,Valid,L,625,Fell,01/01/1949 12:00:00 AM,2.000.000,22.666.670,"(2.000000, 22.666670)"
Alby sur Chéran,458,Valid,Eucrite-mmict,252,Fell,01/01/2002 12:00:00 AM,45.821.330,6.015.330,"(45.821330, 6.015330)"
Aldsworth,461,Valid,LL5,700,Fell,01/01/1835 12:00:00 AM,51.783.330,-1.783.330,"(51.783330, -1.783330)"
Aleppo,462,Valid,L6,3200,Fell,01/01/1873 12:00:00 AM,36.233.330,37.133.330,"(36.233330, 37.133330)"
Alessandria,463,Valid,H5,908,Fell,01/01/1860 12:00:00 AM,44.883.330,8.750.000,"(44.883330, 8.750000)"
Alexandrovsky,465,Valid,H4,9251,Fell,01/01/1900 12:00:00 AM,50.950.000,31.816.670,"(50.950000, 31.816670)"
Alfianello,466,Valid,L6,228000,Fell,01/01/1883 12:00:00 AM,45.266.670,10.150.000,"(45.266670, 10.150000)"
Allegan,2276,Valid,H5,32000,Fell,01/01/1899 12:00:00 AM,42.533.330,-85.883.330,"(42.533330, -85.883330)"
Allende,2278,Valid,CV3,2000000,Fell,01/01/1969 12:00:00 AM,26.966.670,-105.316.670,"(26.966670, -105.316670)"
Almahata Sitta,48915,Valid,Ureilite-an,3950,Fell,01/01/2008 12:00:00 AM,20.745.750,32.412.750,"(20.745750, 32.412750)"
Alta'ameem,2284,Valid,LL5,6000,Fell,01/01/1977 12:00:00 AM,35.273.330,44.215.560,"(35.273330, 44.215560)"
Ambapur Nagla,2290,Valid,H5,6400,Fell,01/01/1895 12:00:00 AM,27.666.670,78.250.000,"(27.666670, 78.250000)"
Andhara,2294,Valid,Stone-uncl,2700,Fell,01/01/1880 12:00:00 AM,26.583.330,85.566.670,"(26.583330, 85.566670)"
Andover,2295,Valid,L6,3200,Fell,01/01/1898 12:00:00 AM,44.616.670,-70.750.000,"(44.616670, -70.750000)"
Andreevka,2296,Valid,L3,600,Fell,01/01/1969 12:00:00 AM,48.700.000,37.500.000,"(48.700000, 37.500000)"
Andura,2298,Valid,H6,17900,Fell,01/01/1939 12:00:00 AM,20.883.330,76.866.670,"(20.883330, 76.866670)"
Northwest Africa 5815,50693,Valid,L5,256.8,Found,,0,0,"(0.000000, 0.000000)"
Angers,2301,Valid,L6,,Fell,01/01/1822 12:00:00 AM,47.466.670,-550.000,"(47.466670, -0.550000)"
Angra dos Reis (stone),2302,Valid,Angrite,1500,Fell,01/01/1869 12:00:00 AM,-22.966.670,-44.316.670,"(-22.966670, -44.316670)"
Ankober,2304,Valid,H4,6500,Fell,01/01/1942 12:00:00 AM,9.533.330,39.716.670,"(9.533330, 39.716670)"
Anlong,2305,Valid,H5,2500,Fell,01/01/1971 12:00:00 AM,25.150.000,105.183.330,"(25.150000, 105.183330)"
Aomori,2313,Valid,L6,320,Fell,01/01/1984 12:00:00 AM,40.810.560,140.785.560,"(40.810560, 140.785560)"
Appley Bridge,2318,Valid,LL6,15000,Fell,01/01/1914 12:00:00 AM,53.583.330,-2.716.670,"(53.583330, -2.716670)"
Apt,2320,Valid,L6,3200,Fell,01/01/1803 12:00:00 AM,43.866.670,5.383.330,"(43.866670, 5.383330)"
Arbol Solo,2325,Valid,H5,810,Fell,01/01/1954 12:00:00 AM,-33.000.000,-66.000.000,"(-33.000000, -66.000000)"
Archie,2329,Valid,H6,5070,Fell,01/01/1932 12:00:00 AM,38.500.000,-94.300.000,"(38.500000, -94.300000)"
Arroyo Aguiar,2340,Valid,H5,7450,Fell,01/01/1950 12:00:00 AM,-31.416.670,-60.666.670,"(-31.416670, -60.666670)"
Asco,2345,Valid,H6,41,Fell,01/01/1805 12:00:00 AM,42.450.000,9.033.330,"(42.450000, 9.033330)"
Ash Creek,48954,Valid,L6,9500,Fell,01/01/2009 12:00:00 AM,31.805.000,-97.010.000,"(31.805000, -97.010000)"
Ashdon,2346,Valid,L6,1300,Fell,01/01/1923 12:00:00 AM,52.050.000,300.000,"(52.050000, 0.300000)"
Assisi,2353,Valid,H5,2000,Fell,01/01/1886 12:00:00 AM,43.033.330,12.550.000,"(43.033330, 12.550000)"
Atarra,4883,Valid,L4,1280,Fell,01/01/1920 12:00:00 AM,25.254.170,80.625.000,"(25.254170, 80.625000)"
Atemajac,4884,Valid,L6,94.2,Fell,01/01/1896 12:00:00 AM,20.066.670,-103.666.670,"(20.066670, -103.666670)"
Athens,4885,Valid,LL6,265,Fell,01/01/1933 12:00:00 AM,34.750.000,-87.000.000,"(34.750000, -87.000000)"
Atoka,4888,Valid,L6,1384.2,Fell,01/01/1945 12:00:00 AM,34.316.670,-96.150.000,"(34.316670, -96.150000)"
Aubres,4893,Valid,Aubrite,800,Fell,01/01/1836 12:00:00 AM,44.383.330,5.166.670,"(44.383330, 5.166670)"
Aumale,4899,Valid,L6,50000,Fell,01/01/1865 12:00:00 AM,36.166.670,3.666.670,"(36.166670, 3.666670)"
Aumieres,4900,Valid,L6,2000,Fell,01/01/1842 12:00:00 AM,44.333.330,3.233.330,"(44.333330, 3.233330)"
Ausson,4903,Valid,L5,50000,Fell,01/01/1858 12:00:00 AM,43.083.330,583.330,"(43.083330, 0.583330)"
Avanhandava,4905,Valid,H4,9330,Fell,01/01/1952 12:00:00 AM,-21.460.280,-49.950.830,"(-21.460280, -49.950830)"
Avce,4906,Valid,"Iron, IIAB",1230,Fell,01/01/1908 12:00:00 AM,46.000.000,13.500.000,"(46.000000, 13.500000)"
Avilez,4907,Valid,H,146,Fell,01/01/1855 12:00:00 AM,25.000.000,-103.500.000,"(25.000000, -103.500000)"
Awere,4910,Valid,L4,134,Fell,01/01/1968 12:00:00 AM,2.716.670,32.833.330,"(2.716670, 32.833330)"
Aztec,4913,Valid,L6,2830,Fell,01/01/1938 12:00:00 AM,36.800.000,-108.000.000,"(36.800000, -108.000000)"
Bachmut,4917,Valid,L6,18000,Fell,01/01/1814 12:00:00 AM,48.600.000,38.000.000,"(48.600000, 38.000000)"
Bahjoi,4922,Valid,"Iron, IAB-sLL",10322,Fell,01/01/1934 12:00:00 AM,28.483.330,78.500.000,"(28.483330, 78.500000)"
Bald Mountain,4925,Valid,L4,3700,Fell,01/01/1929 12:00:00 AM,35.966.670,-82.483.330,"(35.966670, -82.483330)"
Baldwyn,4926,Valid,L6,345,Fell,01/01/1922 12:00:00 AM,34.500.000,-88.666.670,"(34.500000, -88.666670)"
Bali,4928,Valid,CV3,1000,Fell,01/01/1907 12:00:00 AM,5.383.330,16.383.330,"(5.383330, 16.383330)"
Ban Rong Du,4934,Valid,"Iron, ungrouped",16700,Fell,01/01/1993 12:00:00 AM,16.666.670,101.183.330,"(16.666670, 101.183330)"
Bandong,4935,Valid,LL6,11500,Fell,01/01/1871 12:00:00 AM,-6.916.670,107.600.000,"(-6.916670, 107.600000)"
Bansur,4936,Valid,L6,15000,Fell,01/01/1892 12:00:00 AM,27.700.000,76.333.330,"(27.700000, 76.333330)"
Banswal,4937,Valid,L5,14,Fell,01/01/1913 12:00:00 AM,30.400.000,78.200.000,"(30.400000, 78.200000)"
Banten,4938,Valid,CM2,629,Fell,01/01/1933 12:00:00 AM,-6.333.330,106.000.000,"(-6.333330, 106.000000)"
Barbotan,4942,Valid,H5,6400,Fell,01/01/1790 12:00:00 AM,43.950.000,-50.000,"(43.950000, -0.050000)"
Barcelona (stone),4944,Valid,OC,,Fell,01/01/1704 12:00:00 AM,41.366.670,2.166.670,"(41.366670, 2.166670)"
Barea,4946,Valid,Mesosiderite-A1,3200,Fell,01/01/1842 12:00:00 AM,42.383.330,-2.500.000,"(42.383330, -2.500000)"
Barnaul,4947,Valid,H5,23.2,Fell,01/01/1904 12:00:00 AM,52.733.330,84.083.330,"(52.733330, 84.083330)"
Barntrup,4948,Valid,LL4,17,Fell,01/01/1886 12:00:00 AM,52.000.000,9.100.000,"(52.000000, 9.100000)"
Baroti,4949,Valid,L6,4500,Fell,01/01/1910 12:00:00 AM,31.616.670,76.800.000,"(31.616670, 76.800000)"
Barwell,4954,Valid,L5,44000,Fell,01/01/1965 12:00:00 AM,52.565.280,-1.339.720,"(52.565280, -1.339720)"
Bassikounou,44876,Valid,H5,29560,Fell,01/01/2006 12:00:00 AM,15.783.330,-5.900.000,"(15.783330, -5.900000)"
Baszkówka,4957,Valid,L5,15500,Fell,01/01/1994 12:00:00 AM,52.033.330,20.935.830,"(52.033330, 20.935830)"
Bath,4974,Valid,H4,21000,Fell,01/01/1892 12:00:00 AM,45.416.670,-98.316.670,"(45.416670, -98.316670)"
Bath Furnace,4975,Valid,L6,86000,Fell,01/01/1902 12:00:00 AM,38.250.000,-83.750.000,"(38.250000, -83.750000)"
Battle Mountain,56133,Valid,L6,2900,Fell,01/01/2012 12:00:00 AM,40.668.130,-117.189.130,"(40.668130, -117.189130)"
Bawku,4976,Valid,LL5,1557,Fell,01/01/1989 12:00:00 AM,11.083.330,-183.330,"(11.083330, -0.183330)"
Baxter,4977,Valid,L6,611,Fell,01/01/1916 12:00:00 AM,36.750.000,-93.500.000,"(36.750000, -93.500000)"
